solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,lambda_hp,lambda_max,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
5_122_12,holiday,1.07762339532991,4843180.9907422,0.0293294769817582,302698.811921388,0.0945766924959752,4843180.9907422,0.0293294769817582,302698.811921388,0.0945766924959752,TRUE,,,0,0.0567966242071726,0.102566511361477,0.93746026539985,149419.303702875,0.00218208772445605,65481090.2533626,12,122,0,5,1464,3,,,,,,,,,
5_122_12,newsletter,560135.011643689,21732862.95644,0.131610506616836,236226.771265652,0.0738078440529553,21732862.95644,0.131610506616836,236226.771265652,0.0738078440529553,TRUE,,,0,0.0567966242071726,0.102566511361477,0.93746026539985,149419.303702875,0.00218208772445605,65481090.2533626,12,122,0,5,1464,3,,,,,,,,,
5_122_12,ooh_S,186558.885259932,5393304.64706752,0.032660931896649,58622.87659856,0.0183164173592178,5393304.64706752,0.032660931896649,58622.87659856,0.0183164173592178,TRUE,0.310911157955088,0.303185933544835,0,0.0567966242071726,0.102566511361477,0.93746026539985,149419.303702875,0.00218208772445605,65481090.2533626,12,122,0,5,1464,3,10240536,262577.846153846,0.310911157955088,0.303185933544835,0.321814554998073,0.526662339458356,1.89874977775788,84501.3727123523,0.113347442413215
5_122_12,print_S,463759.007094957,1980315.50510664,0.0119924525089332,21525.1685337678,0.00672542859491269,1980315.50510664,0.0119924525089332,21525.1685337678,0.00672542859491269,TRUE,0.0848043521333921,0.111323918157585,0,0.0567966242071726,0.102566511361477,0.93746026539985,149419.303702875,0.00218208772445605,65481090.2533626,12,122,0,5,1464,3,2793216,77589.3333333333,0.0848043521333921,0.111323918157585,0.377642788685376,0.708973278510018,1.41049039549362,29301.0522122392,0.990451477831812
5_122_12,search_S,58740.6307304483,2787094.10050749,0.0168781659044093,30294.5010924727,0.00946536161128333,2787094.10050749,0.0168781659044093,30294.5010924727,0.00946536161128333,TRUE,0.111321014032676,0.156677173279858,0,0.0567966242071726,0.102566511361477,0.93746026539985,149419.303702875,0.00218208772445605,65481090.2533626,12,122,0,5,1464,3,3666600,47618.1818181818,0.111321014032676,0.156677173279858,0.651256331303115,0.760130393418286,1.31556376203171,31011.6423942338,0.600153442876035
5_122_12,season,0.366100357590843,-2950034.69713766,-0.0178649063312886,-32065.594534105,-0.0100187306805164,-2950034.69713766,-0.0178649063312886,-32065.594534105,-0.0100187306805164,FALSE,,,0,0.0567966242071726,0.102566511361477,0.93746026539985,149419.303702875,0.00218208772445605,65481090.2533626,12,122,0,5,1464,3,,,,,,,,,
5_122_12,trend,0.152406369361448,42180518.8910338,0.255438018991647,458483.900989497,0.143250945198623,42180518.8910338,0.255438018991647,458483.900989497,0.143250945198623,TRUE,,,0,0.0567966242071726,0.102566511361477,0.93746026539985,149419.303702875,0.00218208772445605,65481090.2533626,12,122,0,5,1464,3,,,,,,,,,
5_122_12,tv_S,546202.080628324,5908968.44610491,0.0357837038007144,64227.9178924447,0.0200676837864433,5908968.44610491,0.0357837038007144,64227.9178924447,0.0200676837864433,TRUE,0.311135800761756,0.3321740995279,0,0.0567966242071726,0.102566511361477,0.93746026539985,149419.303702875,0.00218208772445605,65481090.2533626,12,122,0,5,1464,3,10247935.1,256198.3775,0.311135800761756,0.3321740995279,0.409578199360515,0.57660088480702,1.7343018825486,104933.270135535,0.500088400294771
5_124_6,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,0,0.0572882202494819,0.0789153619234485,0.936372970579101,225653.225069217,0.00334641692584681,65481090.2533626,6,124,0,5,1482,3,,,,,,,,,
5_124_6,competitor_sales_B,0.154702205925246,75721294.1837005,0.458737675353283,823057.545475005,0.261495258072481,75721294.1837005,0.458737675353283,823057.545475005,0.261495258072481,TRUE,,,0,0.0572882202494819,0.0789153619234485,0.936372970579101,225653.225069217,0.00334641692584681,65481090.2533626,6,124,0,5,1482,3,,,,,,,,,
5_124_6,events,0.932619009686988,1127385.15807597,0.00682996840213661,1127385.15807597,0.358183792225636,1127385.15807597,0.00682996840213661,1127385.15807597,0.358183792225636,TRUE,,,0,0.0572882202494819,0.0789153619234485,0.936372970579101,225653.225069217,0.00334641692584681,65481090.2533626,6,124,0,5,1482,3,,,,,,,,,
5_124_6,facebook_S,91652.0575103023,2276759.28265038,0.0137931512122367,24747.3835070693,0.00786254068427865,2276759.28265038,0.0137931512122367,24747.3835070693,0.00786254068427865,TRUE,0.181827675117088,0.115543773819129,0,0.0572882202494819,0.0789153619234485,0.936372970579101,225653.225069217,0.00334641692584681,65481090.2533626,6,124,0,5,1482,3,5988890.41190929,136111.145725211,0.181827675117088,0.115543773819129,0.314237125646004,0.380163790962496,2.63044514962408,42771.1752010748,0.233468758437084
5_124_6,holiday,1.02650826711792,4613453.40838971,0.0279494020107614,288340.838024357,0.0916093440447104,4613453.40838971,0.0279494020107614,288340.838024357,0.0916093440447104,TRUE,,,0,0.0572882202494819,0.0789153619234485,0.936372970579101,225653.225069217,0.00334641692584681,65481090.2533626,6,124,0,5,1482,3,,,,,,,,,
5_124_6,newsletter,494909.729674468,11101530.9803084,0.0672557246897312,120668.815003352,0.0383379304327879,11101530.9803084,0.0672557246897312,120668.815003352,0.0383379304327879,TRUE,,,0,0.0572882202494819,0.0789153619234485,0.936372970579101,225653.225069217,0.00334641692584681,65481090.2533626,6,124,0,5,1482,3,,,,,,,,,
