solID,mape,decomp.rssd,nrmse,tv_S,ooh_S,print_S,facebook_S,search_S,cluster,top_sol
2_163_3,0,0.196514032505814,0.053800925900543,0.397907532179841,0.554034189260625,0.655008008696597,0.107434434206869,0.797252606261236,1,FALSE
2_163_6,0,0.226942119928193,0.0529740761583314,0.11473281461365,0.255795627203854,0.499860810163685,0,0.598598699312028,2,FALSE
2_164_1,0,0.14404414976621,0.0549711072146903,0.363491523546186,0.487765770111316,0.35557823928387,0.297105127776768,0.928572084712889,1,FALSE
2_164_2,0,0.137558804521337,0.0553968205487596,0.785264554154791,0.479618541050597,0.483502759302585,0.450908452247248,0.9704582144838,1,FALSE
2_165_6,0,0.123586299473019,0.0555127570073379,0.216572821308852,0.292652379044157,0.149599102498154,0.299422864393348,0.607817991389942,4,FALSE
2_165_8,0,0.124542637321967,0.0554143602597354,0.198170223597194,0.240281780546698,0.307738601942437,0.408018072986173,0.777948196638664,4,FALSE
2_165_9,0,0.234740376799989,0.0525240605496857,0.214310457943158,0.409219496952042,0.68120535537561,0,0.543043265754058,2,FALSE
2_166_4,0,0.129594483701411,0.0551251567164563,0.616706471151364,0.690235733777579,0.323747150607203,0.331505112403982,0.770240303757999,1,FALSE
2_166_7,0,0.0679771008868595,0.0573089602362239,0.244661812951984,0.36140871913383,0.129756199009764,0.547994023530016,0.471359569784068,4,FALSE
2_167_2,0,0.148156496296595,0.0548693636535709,1,0.685604176170239,0.496939226550604,0.342104846138576,0.910553284613598,1,FALSE
2_167_7,0,0.21895539305698,0.0531655735764595,0.184039018122098,0.274744883224573,0.412848802414666,0,0.639789713762885,2,FALSE
3_104_7,0,0.0500392686569018,0.06288117890557,0.270804854988592,0.37746386208004,0.163031086800411,0.680094315665112,0.574607386245197,4,FALSE
3_105_4,0,0.222995587586912,0.0530328304851601,0.171199301190505,0.389425392110473,0.492076609220828,0,0.506488663032791,2,FALSE
3_109_6,0,0.0571602402022466,0.0613069190104494,0.534576080003478,0.738775376346684,0.251189573417463,0.685195266278015,0.764650685829548,3,FALSE
3_114_1,0,0.0254382729060883,0.065328914156779,0.357221417097585,0.565133468368754,0.00983841911369394,0.765857621349331,0.738718857964968,3,FALSE
3_115_1,0,0.286200581409579,0.0520364436284533,0.189455394701011,0.260262599765649,0.821731300319398,0,0.163134676054209,2,FALSE
3_115_5,0,0.19628673848126,0.053904284220813,0.291263654901314,0.709410729576685,0.540354919046093,0.0759986089733376,0.807059846557779,1,FALSE
3_115_7,0,0.118073737582,0.0559445076678735,0.427347961390062,0.529808995871742,0.370566046218317,0.416075875589595,0.85999152366091,1,FALSE
3_116_9,0,0.0642141710922529,0.0584439871362755,0.325831738713249,0.355984152600672,0.171047259280165,0.619315897359592,0.598015159183991,4,FALSE
3_118_6,0,0.0644919656995542,0.0578785281453177,0.290029635230197,0.450263981934325,0.0482973561014699,0.542535383519509,0.71011946765527,4,FALSE
3_119_1,0,0.0260388876786861,0.0651161318778989,0.419642131646514,0.544909734867913,0.0683024044355105,0.764129186299017,0.627493881966801,3,FALSE
3_120_5,0,0.192219003626309,0.0537931967393827,0.289893192618387,0.698878882189935,0.546821109798863,0.0966990636783278,0.734296032541314,1,FALSE
3_120_6,0,0.0975904880239406,0.0565159706975958,0.313342547249749,0.459192280436028,0.146846647768969,0.405691585042086,0.61093148564532,4,FALSE
3_121_7,0,0.0363020470685809,0.0653008776600349,0.409139176111719,0.752731609753367,0,0.770959850960059,0.768711999592713,3,FALSE
3_121_9,0,0.0654123156163097,0.0583778963354492,0.323745666639774,0.357443321775492,0.179558936496819,0.614466063314791,0.590472471481866,4,FALSE
3_122_11,0,0.192021846143569,0.0537702299549172,0.285968409593144,0.676880207038205,0.545845098058649,0.0969394993189039,0.737127574844211,1,FALSE
3_122_12,0,0.100149083486433,0.0565024247676354,0.31526234939669,0.449268385402003,0.149120163830024,0.399437020134448,0.555461368748521,4,FALSE
3_124_1,0,0.0240877515727208,0.0655124255804898,0.33474616850714,0.551941642676273,0.073041896734915,0.739350382008922,0.608949164395397,3,FALSE
3_125_5,0,0.198554618126406,0.0537511818009545,0.285041714973129,0.678122229695848,0.547087682819617,0.0687953804485095,0.728771255209795,1,FALSE
3_125_8,0,0.0942810526620433,0.056861125440435,0.428715149620408,0.379228706596866,0.265282796493202,0.533277126833892,0.75039069213446,4,FALSE
3_126_7,0,0.0488589339316765,0.0652823799781265,0.625559560355102,0.539744878377237,0.160898394782329,0.971756064371303,0.568372468338439,3,FALSE
3_127_11,0,0.197099988559957,0.0537555175999834,0.285233096673406,0.6782243966672,0.546750566693569,0.0749955077642574,0.730678452794826,1,FALSE
3_127_12,0,0.119817043489963,0.0554890366102186,0.397954086310739,0.575257835942765,0.493612419458663,0.433886369001668,0.675136399191863,1,FALSE
3_127_6,0,0.118698801448239,0.055666665834303,0.360415654076646,0.445541774485484,0.245468925045159,0.347858494596923,0.608207243318352,4,FALSE
3_127_8,0,0.173334242423224,0.0544998336832969,0.0973712814558743,0.22856439572149,0.325682869455153,0.157441402400633,0.492498991291509,4,FALSE
3_130_10,0,0.113831880362855,0.0561869515867546,0.224121751936904,0.27990642831209,0.306134424586446,0.413228428268981,0.625612812277862,4,FALSE
3_130_8,0,0.0961069587745151,0.0572379808833643,0.37959606136884,0.383881786029715,0.272228081951446,0.495476743961036,0.695842125572854,4,FALSE
3_131_11,0,0.0895168707477097,0.0568702887591579,0,0.233586431404533,0.0446525717109351,0.367723918580516,0.452234111162997,4,FALSE
